2026-04-12 22:35:03.773 GET / -> 404 (-1ms)
2026-04-12 22:44:19.861 POST /auth/login -> 401 (3379ms)
2026-04-12 22:44:26.782 POST /auth/register -> 201 (238ms)
2026-04-12 22:44:26.892 GET /dashboard/month/4/year/2026 -> 200 (31ms)
2026-04-12 22:44:30.612 GET /accounts -> 200 (2ms)
2026-04-12 22:45:01.054 GET /dashboard/month/4/year/2026 -> 200 (3ms)
2026-04-12 22:45:02.177 GET /budgets/month/4/year/2026 -> 200 (2ms)
2026-04-12 22:45:10.663 GET /accounts -> 200 (0ms)
2026-04-12 22:45:32.123 POST /accounts -> 201 (0ms)
2026-04-12 22:45:32.150 GET /accounts -> 200 (0ms)
2026-04-12 22:45:40.321 GET /dashboard/month/4/year/2026 -> 200 (0ms)
2026-04-12 22:45:49.619 GET /budgets/month/4/year/2026 -> 200 (2ms)
2026-04-12 22:45:56.803 POST /budgets -> 201 (6ms)
2026-04-12 22:45:56.821 GET /budgets/month/4/year/2026 -> 200 (5ms)
2026-04-12 22:46:00.957 GET /accounts -> 200 (3ms)
2026-04-12 22:46:04.203 GET /dashboard/month/4/year/2026 -> 200 (2ms)
2026-04-12 22:47:29.974 GET /dashboard/month/4/year/2026 -> 200 (0ms)
2026-04-12 22:47:34.595 POST /auth/login -> 200 (114ms)
2026-04-12 22:47:34.615 GET /dashboard/month/4/year/2026 -> 200 (0ms)
2026-04-12 22:47:35.899 GET /accounts -> 200 (0ms)
2026-04-12 22:47:36.650 GET /budgets/month/4/year/2026 -> 200 (2ms)
2026-04-12 22:47:44.892 GET /accounts -> 200 (2ms)
2026-04-12 23:01:43.033 GET /accounts -> 200 (3373ms)
2026-04-12 23:01:43.120 GET /dashboard/month/4/year/2026 -> 200 (3461ms)
2026-04-12 23:02:58.386 GET /accounts -> 200 (0ms)
2026-04-12 23:02:58.407 GET /transactions -> 200 (0ms)
2026-04-12 23:02:59.525 GET /accounts -> 200 (0ms)
2026-04-12 23:02:59.537 GET /budgets/month/4/year/2026 -> 200 (4ms)
2026-04-12 23:03:05.502 GET /accounts -> 200 (0ms)
2026-04-12 23:03:18.436 POST /accounts -> 201 (84ms)
2026-04-12 23:03:18.470 GET /accounts -> 200 (13ms)
2026-04-12 23:03:24.918 GET /budgets/month/4/year/2026 -> 200 (0ms)
2026-04-12 23:03:24.925 GET /transactions -> 200 (7ms)
2026-04-12 23:03:26.204 GET /accounts -> 200 (16ms)
2026-04-12 23:03:44.069 POST /transactions -> 201 (47ms)
2026-04-12 23:03:44.114 GET /transactions -> 200 (2ms)
2026-04-12 23:03:44.114 GET /accounts -> 200 (2ms)
2026-04-12 23:03:44.118 GET /budgets/month/4/year/2026 -> 200 (6ms)
2026-04-12 23:03:46.723 GET /budgets/month/4/year/2026 -> 200 (2ms)
2026-04-12 23:03:48.123 GET /accounts -> 200 (3ms)
2026-04-12 23:03:52.212 GET /accounts -> 200 (0ms)
2026-04-12 23:03:52.220 GET /dashboard/month/4/year/2026 -> 200 (8ms)
2026-04-12 23:04:01.246 GET /accounts -> 200 (2ms)
2026-04-12 23:04:03.153 GET /budgets/month/4/year/2026 -> 200 (0ms)
2026-04-12 23:04:11.448 POST /budgets -> 201 (0ms)
2026-04-12 23:04:11.471 GET /budgets/month/4/year/2026 -> 200 (0ms)
2026-04-12 23:04:15.057 GET /budgets/month/4/year/2026 -> 200 (14ms)
2026-04-12 23:04:15.057 GET /transactions -> 200 (14ms)
2026-04-12 23:04:16.303 GET /accounts -> 200 (11ms)
2026-04-12 23:04:29.753 POST /transactions -> 201 (19ms)
2026-04-12 23:04:29.768 GET /budgets/month/4/year/2026 -> 200 (0ms)
2026-04-12 23:04:29.768 GET /accounts -> 200 (0ms)
2026-04-12 23:04:29.768 GET /transactions -> 200 (0ms)
2026-04-12 23:04:32.092 GET /accounts -> 200 (2ms)
2026-04-12 23:04:32.093 GET /dashboard/month/4/year/2026 -> 200 (3ms)
